CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Mexico,Processing,2019.0,1000 tonnes,118.0,Im
India,Processing,2019.0,1000 tonnes,109.0,Im
Germany,Processing,2019.0,1000 tonnes,101.0,Im
Netherlands,Processing,2019.0,1000 tonnes,97.0,Im
Belgium,Processing,2019.0,1000 tonnes,43.0,Im
Indonesia,Processing,2019.0,1000 tonnes,42.0,Im
Italy,Processing,2019.0,1000 tonnes,38.0,Im
Spain,Processing,2019.0,1000 tonnes,36.0,Im
United States of America,Processing,2019.0,1000 tonnes,31.0,Im
France,Processing,2019.0,1000 tonnes,23.0,Im
Sri Lanka,Processing,2019.0,1000 tonnes,23.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,18.0,A
Poland,Processing,2019.0,1000 tonnes,16.0,Im
Canada,Processing,2019.0,1000 tonnes,15.0,Im
Sweden,Processing,2019.0,1000 tonnes,13.0,Im
Pakistan,Processing,2019.0,1000 tonnes,11.0,Im
Australia,Processing,2019.0,1000 tonnes,10.0,Im
Austria,Processing,2019.0,1000 tonnes,10.0,Im
New Zealand,Processing,2019.0,1000 tonnes,8.0,Im
Turkey,Processing,2019.0,1000 tonnes,7.0,Im
Ireland,Processing,2019.0,1000 tonnes,5.0,Im
United Kingdom of Great Britain and Northern Ireland,Processing,2019.0,1000 tonnes,4.0,Im
Norway,Processing,2019.0,1000 tonnes,2.0,Im
Philippines,Processing,2019.0,1000 tonnes,2.0,Im
Ecuador,Processing,2019.0,1000 tonnes,1.0,Im
Finland,Processing,2019.0,1000 tonnes,1.0,Im
Guyana,Processing,2019.0,1000 tonnes,1.0,Im
Nepal,Processing,2019.0,1000 tonnes,1.0,Im
Suriname,Processing,2019.0,1000 tonnes,1.0,Im
Trinidad and Tobago,Processing,2019.0,1000 tonnes,1.0,Im
Albania,Processing,2019.0,1000 tonnes,0.0,Im
Argentina,Processing,2019.0,1000 tonnes,0.0,Im
Azerbaijan,Processing,2019.0,1000 tonnes,0.0,Im
Barbados,Processing,2019.0,1000 tonnes,0.0,Im
Belarus,Processing,2019.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2019.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2019.0,1000 tonnes,0.0,Im
China,Processing,2019.0,1000 tonnes,0.0,A
"China, Hong Kong SAR",Processing,2019.0,1000 tonnes,0.0,Im
Other non-specified areas,Processing,2019.0,1000 tonnes,0.0,Im
Colombia,Processing,2019.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2019.0,1000 tonnes,0.0,Im
Croatia,Processing,2019.0,1000 tonnes,0.0,Im
Czechia,Processing,2019.0,1000 tonnes,0.0,Im
Denmark,Processing,2019.0,1000 tonnes,0.0,Im
Egypt,Processing,2019.0,1000 tonnes,0.0,Im
Greece,Processing,2019.0,1000 tonnes,0.0,Im
Guatemala,Processing,2019.0,1000 tonnes,0.0,Im
North Macedonia,Processing,2019.0,1000 tonnes,0.0,Im
Peru,Processing,2019.0,1000 tonnes,0.0,Im
Saint Lucia,Processing,2019.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2019.0,1000 tonnes,0.0,Im
Germany,Processing,2018.0,1000 tonnes,150.0,Im
Mexico,Processing,2018.0,1000 tonnes,111.0,Im
India,Processing,2018.0,1000 tonnes,107.0,Im
Netherlands,Processing,2018.0,1000 tonnes,102.0,Im
Belgium,Processing,2018.0,1000 tonnes,47.0,Im
Italy,Processing,2018.0,1000 tonnes,35.0,Im
Spain,Processing,2018.0,1000 tonnes,30.0,Im
United States of America,Processing,2018.0,1000 tonnes,30.0,Im
France,Processing,2018.0,1000 tonnes,23.0,Im
Australia and New Zealand,Processing,2018.0,1000 tonnes,20.0,A
Sri Lanka,Processing,2018.0,1000 tonnes,20.0,Im
Indonesia,Processing,2018.0,1000 tonnes,19.0,Im
Poland,Processing,2018.0,1000 tonnes,15.0,Im
Canada,Processing,2018.0,1000 tonnes,14.0,Im
Sweden,Processing,2018.0,1000 tonnes,12.0,Im
Australia,Processing,2018.0,1000 tonnes,11.0,Im
Pakistan,Processing,2018.0,1000 tonnes,11.0,Im
New Zealand,Processing,2018.0,1000 tonnes,9.0,Im
Austria,Processing,2018.0,1000 tonnes,8.0,Im
Turkey,Processing,2018.0,1000 tonnes,7.0,Im
Ireland,Processing,2018.0,1000 tonnes,5.0,Im
United Kingdom of Great Britain and Northern Ireland,Processing,2018.0,1000 tonnes,4.0,Im
Ecuador,Processing,2018.0,1000 tonnes,2.0,Im
Trinidad and Tobago,Processing,2018.0,1000 tonnes,2.0,Im
Finland,Processing,2018.0,1000 tonnes,1.0,Im
Guyana,Processing,2018.0,1000 tonnes,1.0,Im
Nepal,Processing,2018.0,1000 tonnes,1.0,Im
Norway,Processing,2018.0,1000 tonnes,1.0,Im
Philippines,Processing,2018.0,1000 tonnes,1.0,Im
Suriname,Processing,2018.0,1000 tonnes,1.0,Im
Albania,Processing,2018.0,1000 tonnes,0.0,Im
Argentina,Processing,2018.0,1000 tonnes,0.0,Im
Azerbaijan,Processing,2018.0,1000 tonnes,0.0,Im
Barbados,Processing,2018.0,1000 tonnes,0.0,Im
Belarus,Processing,2018.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2018.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2018.0,1000 tonnes,0.0,Im
China,Processing,2018.0,1000 tonnes,0.0,A
"China, Hong Kong SAR",Processing,2018.0,1000 tonnes,0.0,Im
Other non-specified areas,Processing,2018.0,1000 tonnes,0.0,Im
Colombia,Processing,2018.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2018.0,1000 tonnes,0.0,Im
Croatia,Processing,2018.0,1000 tonnes,0.0,Im
Czechia,Processing,2018.0,1000 tonnes,0.0,Im
Denmark,Processing,2018.0,1000 tonnes,0.0,Im
Egypt,Processing,2018.0,1000 tonnes,0.0,Im
Greece,Processing,2018.0,1000 tonnes,0.0,Im
Guatemala,Processing,2018.0,1000 tonnes,0.0,Im
North Macedonia,Processing,2018.0,1000 tonnes,0.0,Im
Peru,Processing,2018.0,1000 tonnes,0.0,Im
Saint Lucia,Processing,2018.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2018.0,1000 tonnes,0.0,Im
India,Processing,2017.0,1000 tonnes,112.0,Im
Mexico,Processing,2017.0,1000 tonnes,108.0,Im
Germany,Processing,2017.0,1000 tonnes,100.0,Im
Netherlands,Processing,2017.0,1000 tonnes,56.0,Im
Belgium,Processing,2017.0,1000 tonnes,53.0,Im
Italy,Processing,2017.0,1000 tonnes,32.0,Im
Indonesia,Processing,2017.0,1000 tonnes,30.0,Im
