CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Angola,Processing,2019.0,1000 tonnes,2016.0,Im
Thailand,Processing,2019.0,1000 tonnes,397.0,Im
Burundi,Processing,2019.0,1000 tonnes,350.0,Im
United Republic of Tanzania,Processing,2019.0,1000 tonnes,340.0,Im
Indonesia,Processing,2019.0,1000 tonnes,291.0,Im
Dominican Republic,Processing,2019.0,1000 tonnes,264.0,Im
Spain,Processing,2019.0,1000 tonnes,248.0,Im
Poland,Processing,2019.0,1000 tonnes,222.0,Im
United States of America,Processing,2019.0,1000 tonnes,86.0,Im
Sweden,Processing,2019.0,1000 tonnes,81.0,Im
Turkey,Processing,2019.0,1000 tonnes,55.0,Im
China,Processing,2019.0,1000 tonnes,52.0,A
Other non-specified areas,Processing,2019.0,1000 tonnes,52.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,39.0,A
Netherlands,Processing,2019.0,1000 tonnes,33.0,Im
Australia,Processing,2019.0,1000 tonnes,25.0,Im
Guatemala,Processing,2019.0,1000 tonnes,25.0,Im
Ireland,Processing,2019.0,1000 tonnes,25.0,Im
Albania,Processing,2019.0,1000 tonnes,15.0,Im
New Zealand,Processing,2019.0,1000 tonnes,15.0,Im
Lithuania,Processing,2019.0,1000 tonnes,11.0,Im
Italy,Processing,2019.0,1000 tonnes,5.0,Im
Republic of Moldova,Processing,2019.0,1000 tonnes,5.0,Im
Cambodia,Processing,2019.0,1000 tonnes,4.0,Im
Portugal,Processing,2019.0,1000 tonnes,4.0,Im
Slovakia,Processing,2019.0,1000 tonnes,2.0,Im
Finland,Processing,2019.0,1000 tonnes,1.0,Im
Israel,Processing,2019.0,1000 tonnes,1.0,Im
Jamaica,Processing,2019.0,1000 tonnes,1.0,Im
Mexico,Processing,2019.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2019.0,1000 tonnes,0.0,Im
Brazil,Processing,2019.0,1000 tonnes,0.0,Im
Colombia,Processing,2019.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2019.0,1000 tonnes,0.0,Im
Ecuador,Processing,2019.0,1000 tonnes,0.0,Im
El Salvador,Processing,2019.0,1000 tonnes,0.0,Im
Myanmar,Processing,2019.0,1000 tonnes,0.0,Im
Nepal,Processing,2019.0,1000 tonnes,0.0,Im
Peru,Processing,2019.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2019.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2019.0,1000 tonnes,0.0,Im
Angola,Processing,2018.0,1000 tonnes,1975.0,Im
Thailand,Processing,2018.0,1000 tonnes,559.0,Im
Burundi,Processing,2018.0,1000 tonnes,490.0,Im
Dominican Republic,Processing,2018.0,1000 tonnes,340.0,Im
United Republic of Tanzania,Processing,2018.0,1000 tonnes,339.0,Im
Indonesia,Processing,2018.0,1000 tonnes,290.0,Im
Spain,Processing,2018.0,1000 tonnes,237.0,Im
Poland,Processing,2018.0,1000 tonnes,226.0,Im
United States of America,Processing,2018.0,1000 tonnes,88.0,Im
Sweden,Processing,2018.0,1000 tonnes,73.0,Im
China,Processing,2018.0,1000 tonnes,55.0,A
Other non-specified areas,Processing,2018.0,1000 tonnes,55.0,Im
Turkey,Processing,2018.0,1000 tonnes,53.0,Im
Australia and New Zealand,Processing,2018.0,1000 tonnes,47.0,A
Australia,Processing,2018.0,1000 tonnes,30.0,Im
Guatemala,Processing,2018.0,1000 tonnes,27.0,Im
Netherlands,Processing,2018.0,1000 tonnes,26.0,Im
Ireland,Processing,2018.0,1000 tonnes,24.0,Im
New Zealand,Processing,2018.0,1000 tonnes,17.0,Im
Cambodia,Processing,2018.0,1000 tonnes,15.0,Im
Portugal,Processing,2018.0,1000 tonnes,4.0,Im
Republic of Moldova,Processing,2018.0,1000 tonnes,4.0,Im
Jamaica,Processing,2018.0,1000 tonnes,3.0,Im
Lithuania,Processing,2018.0,1000 tonnes,3.0,Im
Albania,Processing,2018.0,1000 tonnes,2.0,Im
Côte d'Ivoire,Processing,2018.0,1000 tonnes,2.0,Im
Slovakia,Processing,2018.0,1000 tonnes,2.0,Im
Costa Rica,Processing,2018.0,1000 tonnes,1.0,Im
Finland,Processing,2018.0,1000 tonnes,1.0,Im
Israel,Processing,2018.0,1000 tonnes,1.0,Im
Mexico,Processing,2018.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2018.0,1000 tonnes,0.0,Im
Brazil,Processing,2018.0,1000 tonnes,0.0,Im
Colombia,Processing,2018.0,1000 tonnes,0.0,Im
Ecuador,Processing,2018.0,1000 tonnes,0.0,Im
El Salvador,Processing,2018.0,1000 tonnes,0.0,Im
Italy,Processing,2018.0,1000 tonnes,0.0,Im
Myanmar,Processing,2018.0,1000 tonnes,0.0,Im
Nepal,Processing,2018.0,1000 tonnes,0.0,Im
Peru,Processing,2018.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2018.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2018.0,1000 tonnes,0.0,Im
Angola,Processing,2017.0,1000 tonnes,1958.0,Im
Thailand,Processing,2017.0,1000 tonnes,451.0,Im
Dominican Republic,Processing,2017.0,1000 tonnes,312.0,Im
Indonesia,Processing,2017.0,1000 tonnes,286.0,Im
United Republic of Tanzania,Processing,2017.0,1000 tonnes,253.0,Im
Burundi,Processing,2017.0,1000 tonnes,246.0,Im
Poland,Processing,2017.0,1000 tonnes,227.0,Im
Spain,Processing,2017.0,1000 tonnes,224.0,Im
Sweden,Processing,2017.0,1000 tonnes,96.0,Im
United States of America,Processing,2017.0,1000 tonnes,89.0,Im
China,Processing,2017.0,1000 tonnes,55.0,A
Other non-specified areas,Processing,2017.0,1000 tonnes,55.0,Im
Turkey,Processing,2017.0,1000 tonnes,47.0,Im
Australia and New Zealand,Processing,2017.0,1000 tonnes,42.0,A
Australia,Processing,2017.0,1000 tonnes,33.0,Im
Guatemala,Processing,2017.0,1000 tonnes,25.0,Im
Ireland,Processing,2017.0,1000 tonnes,25.0,Im
Netherlands,Processing,2017.0,1000 tonnes,22.0,Im
Cambodia,Processing,2017.0,1000 tonnes,17.0,Im
New Zealand,Processing,2017.0,1000 tonnes,9.0,Im
Lithuania,Processing,2017.0,1000 tonnes,5.0,Im
Portugal,Processing,2017.0,1000 tonnes,4.0,Im
Republic of Moldova,Processing,2017.0,1000 tonnes,3.0,Im
Costa Rica,Processing,2017.0,1000 tonnes,2.0,Im
Slovakia,Processing,2017.0,1000 tonnes,2.0,Im
Albania,Processing,2017.0,1000 tonnes,1.0,Im
Côte d'Ivoire,Processing,2017.0,1000 tonnes,1.0,Im
Finland,Processing,2017.0,1000 tonnes,1.0,Im
Israel,Processing,2017.0,1000 tonnes,1.0,Im
Mexico,Processing,2017.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2017.0,1000 tonnes,0.0,Im
Brazil,Processing,2017.0,1000 tonnes,0.0,Im
Colombia,Processing,2017.0,1000 tonnes,0.0,Im
Ecuador,Processing,2017.0,1000 tonnes,0.0,Im
El Salvador,Processing,2017.0,1000 tonnes,0.0,Im
Myanmar,Processing,2017.0,1000 tonnes,0.0,Im
Nepal,Processing,2017.0,1000 tonnes,0.0,Im
Peru,Processing,2017.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2017.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2017.0,1000 tonnes,0.0,Im
Angola,Processing,2016.0,1000 tonnes,1859.0,Im
Thailand,Processing,2016.0,1000 tonnes,445.0,Im
United Republic of Tanzania,Processing,2016.0,1000 tonnes,314.0,Im
Ecuador,Processing,2016.0,1000 tonnes,302.0,Im
Indonesia,Processing,2016.0,1000 tonnes,280.0,Im
Burundi,Processing,2016.0,1000 tonnes,270.0,Im
Dominican Republic,Processing,2016.0,1000 tonnes,240.0,Im
Spain,Processing,2016.0,1000 tonnes,180.0,Im
Poland,Processing,2016.0,1000 tonnes,157.0,Im
Sweden,Processing,2016.0,1000 tonnes,88.0,Im
United States of America,Processing,2016.0,1000 tonnes,85.0,Im
Australia and New Zealand,Processing,2016.0,1000 tonnes,48.0,A
Turkey,Processing,2016.0,1000 tonnes,42.0,Im
China,Processing,2016.0,1000 tonnes,39.0,A
Other non-specified areas,Processing,2016.0,1000 tonnes,39.0,Im
Australia,Processing,2016.0,1000 tonnes,28.0,Im
Netherlands,Processing,2016.0,1000 tonnes,27.0,Im
Guatemala,Processing,2016.0,1000 tonnes,22.0,Im
Ireland,Processing,2016.0,1000 tonnes,21.0,Im
New Zealand,Processing,2016.0,1000 tonnes,20.0,Im
Cambodia,Processing,2016.0,1000 tonnes,17.0,Im
Portugal,Processing,2016.0,1000 tonnes,4.0,Im
Albania,Processing,2016.0,1000 tonnes,3.0,Im
Republic of Moldova,Processing,2016.0,1000 tonnes,3.0,Im
Costa Rica,Processing,2016.0,1000 tonnes,2.0,Im
Côte d'Ivoire,Processing,2016.0,1000 tonnes,2.0,Im
Lithuania,Processing,2016.0,1000 tonnes,2.0,Im
Slovakia,Processing,2016.0,1000 tonnes,2.0,Im
Finland,Processing,2016.0,1000 tonnes,1.0,Im
Israel,Processing,2016.0,1000 tonnes,1.0,Im
Mexico,Processing,2016.0,1000 tonnes,1.0,Im
Bolivia (Plurinational State of),Processing,2016.0,1000 tonnes,0.0,Im
Brazil,Processing,2016.0,1000 tonnes,0.0,Im
Colombia,Processing,2016.0,1000 tonnes,0.0,Im
El Salvador,Processing,2016.0,1000 tonnes,0.0,Im
Myanmar,Processing,2016.0,1000 tonnes,0.0,Im
